judge,generator,method,count,avg_rank,first_count,min_rank,max_rank,var_rank
gpt5,gpt5,no_rag,3136,13.714285714285714,168,1,20,35.98979591836766
gpt5,gpt5,no_feedback,3136,12.196428571428571,56,1,20,25.086415816326337
gpt5,grok4,all,3136,10.607142857142858,56,1,20,21.417091836734578
gpt5,grok4,no_cot,3136,10.160714285714286,112,1,20,31.920599489796068
gpt5,grok4,no_rag,3136,11.482142857142858,168,1,20,39.32110969387743
gpt5,grok4,no_feedback,3136,11.303571428571429,112,1,20,42.63998724489772
deepseek,ali-qwen,all,3136,8.232142857142858,56,1,19,14.821109693877514
deepseek,ali-qwen,no_cot,3136,10.107142857142858,560,1,20,43.48852040816365
deepseek,ali-qwen,no_rag,3136,9.964285714285714,0,2,20,18.9630102040817
deepseek,ali-qwen,no_feedback,3136,10.303571428571429,168,1,20,38.639987244897895
deepseek,deepseek,all,3136,7.571428571428571,224,1,20,21.280612244898002
deepseek,deepseek,no_cot,3136,7.857142857142857,504,1,20,42.336734693878064
deepseek,deepseek,no_rag,3136,7.982142857142857,336,1,19,23.338966836734407
deepseek,deepseek,no_feedback,3136,9.392857142857142,112,1,20,38.02423469387727
deepseek,glm4.5,all,3136,9.553571428571429,0,3,20,14.9614158163266
deepseek,glm4.5,no_cot,3136,10.5,56,1,19,23.642857142857142
deepseek,glm4.5,no_rag,3136,10.803571428571429,0,2,20,18.62213010204099
deepseek,glm4.5,no_feedback,3136,11.125,224,1,20,29.537946428571427
deepseek,gpt5,all,3136,12.535714285714286,504,1,20,54.89158163265273
deepseek,gpt5,no_cot,3136,12.589285714285714,56,1,20,35.42059948979571
deepseek,gpt5,no_rag,3136,14.482142857142858,56,1,20,49.71396683673492
deepseek,gpt5,no_feedback,3136,13.321428571428571,0,2,20,37.18239795918423
deepseek,grok4,all,3136,8.535714285714286,168,1,20,14.248724489795826
deepseek,grok4,no_cot,3136,11.428571428571429,0,2,19,18.24489795918372
deepseek,grok4,no_rag,3136,10.392857142857142,112,1,20,27.024234693877432
deepseek,grok4,no_feedback,3136,13.321428571428571,0,2,20,25.468112244898023
