judge,generator,method,count,avg_rank,first_count,min_rank,max_rank,var_rank
grok4,gpt5,no_cot,3136,3.232142857142857,168,1,9,1.9996811224489541
grok4,gpt5,no_rag,3136,2.767857142857143,336,1,20,11.356823979592258
grok4,gpt5,no_feedback,3136,5.035714285714286,168,1,14,9.320153061224275
grok4,grok4,all,3136,11.035714285714286,0,6,20,6.927295918367376
grok4,grok4,no_cot,3136,14.392857142857142,0,5,20,14.595663265306065
grok4,grok4,no_rag,3136,12.142857142857142,0,3,20,10.443877551020579
grok4,grok4,no_feedback,3136,15.214285714285714,0,5,20,12.096938775510187
glm4.5,ali-qwen,all,3136,6.071428571428571,0,3,19,11.78061224489789
glm4.5,ali-qwen,no_cot,3136,15.625,0,8,20,6.698660714285714
glm4.5,ali-qwen,no_rag,3136,8.446428571428571,0,5,20,12.247130102040984
glm4.5,ali-qwen,no_feedback,3136,17.392857142857142,0,12,20,3.5599489795918253
glm4.5,deepseek,all,3136,7.392857142857143,0,3,20,12.952806122449077
glm4.5,deepseek,no_cot,3136,15.375,0,3,20,11.055803571428571
glm4.5,deepseek,no_rag,3136,9.410714285714286,0,2,17,7.313456632653082
glm4.5,deepseek,no_feedback,3136,16.375,56,1,20,13.520089285714286
glm4.5,glm4.5,all,3136,6.625,0,3,20,9.520089285714286
glm4.5,glm4.5,no_cot,3136,12.5,0,6,19,12.75
glm4.5,glm4.5,no_rag,3136,9.357142857142858,0,4,20,13.086734693877467
glm4.5,glm4.5,no_feedback,3136,16.035714285714285,0,7,20,9.391581632653033
glm4.5,gpt5,all,3080,1.690909090909091,2632,1,20,8.21355371900859
glm4.5,gpt5,no_cot,3136,4.446428571428571,56,1,18,12.068558673469646
glm4.5,gpt5,no_rag,3136,3.0357142857142856,336,1,20,14.391581632653166
glm4.5,gpt5,no_feedback,3136,7.910714285714286,56,1,20,26.581313775510576
glm4.5,grok4,all,3136,10.125,0,4,20,9.145089285714286
glm4.5,grok4,no_cot,3136,13.392857142857142,0,6,18,10.309948979591969
glm4.5,grok4,no_rag,3136,12.0,0,3,20,9.821428571428571
glm4.5,grok4,no_feedback,3136,16.464285714285715,0,8,20,9.820153061224378
gpt5,ali-qwen,all,3136,6.232142857142857,0,3,19,10.106823979591617
gpt5,ali-qwen,no_cot,3136,15.946428571428571,0,6,20,7.300701530612149
gpt5,ali-qwen,no_rag,3136,10.339285714285714,0,3,20,15.902742346938787
gpt5,ali-qwen,no_feedback,3136,17.196428571428573,0,7,20,7.657844387755041
gpt5,deepseek,all,3136,7.642857142857143,56,1,20,13.479591836734697
gpt5,deepseek,no_cot,3136,12.089285714285714,0,4,20,14.795599489795904
gpt5,deepseek,no_rag,3136,8.392857142857142,0,3,16,9.202806122448877
gpt5,deepseek,no_feedback,3136,13.053571428571429,0,6,20,16.62213010204095
gpt5,glm4.5,all,3136,8.25,56,1,20,10.544642857142858
gpt5,glm4.5,no_cot,3136,12.821428571428571,0,5,20,16.646683673469592
gpt5,glm4.5,no_rag,3136,11.714285714285714,0,2,20,17.132653061224513
gpt5,glm4.5,no_feedback,3136,14.607142857142858,0,4,20,12.9528061224491
gpt5,gpt5,all,3136,2.2857142857142856,2240,1,20,15.311224489795972
gpt5,gpt5,no_cot,3136,3.5357142857142856,168,1,13,4.570153061224518
gpt5,gpt5,no_rag,3136,3.107142857142857,616,1,20,13.167091836735047
gpt5,gpt5,no_feedback,3136,4.928571428571429,0,2,17,7.173469387755048
gpt5,grok4,all,3136,12.321428571428571,0,6,20,9.610969387755109
gpt5,grok4,no_cot,3136,15.553571428571429,0,7,20,8.211415816326436
gpt5,grok4,no_rag,3136,13.107142857142858,0,3,20,23.095663265306104
gpt5,grok4,no_feedback,3136,16.875,0,8,20,10.359375
deepseek,ali-qwen,all,3136,7.178571428571429,0,2,19,9.57525510204071
deepseek,ali-qwen,no_cot,3136,17.160714285714285,0,5,20,7.206313775510191
deepseek,ali-qwen,no_rag,3136,10.196428571428571,0,5,20,15.15784438775548
deepseek,ali-qwen,no_feedback,3136,17.053571428571427,0,10,20,4.8007015306122245
deepseek,deepseek,all,3136,7.160714285714286,112,1,20,13.849170918367381
deepseek,deepseek,no_cot,3136,15.535714285714286,0,5,20,10.57015306122427
deepseek,deepseek,no_rag,3136,9.625,0,2,19,12.591517857142858
deepseek,deepseek,no_feedback,3136,15.571428571428571,56,1,20,14.17346938775506
deepseek,glm4.5,all,3136,6.392857142857143,56,1,20,9.559948979591777
deepseek,glm4.5,no_cot,3136,12.160714285714286,0,4,20,19.95631377551047
deepseek,glm4.5,no_rag,3136,8.839285714285714,0,2,20,14.742028061224408
deepseek,glm4.5,no_feedback,3136,14.857142857142858,0,5,20,13.408163265306218
deepseek,gpt5,all,3136,2.25,2240,1,20,13.866071428571429
deepseek,gpt5,no_cot,3136,4.267857142857143,56,1,14,9.48182397959157
deepseek,gpt5,no_rag,3136,3.107142857142857,504,1,20,13.631377551020794
deepseek,gpt5,no_feedback,3136,6.0,112,1,17,14.5
deepseek,grok4,all,3136,11.0,0,6,20,10.607142857142858
deepseek,grok4,no_cot,3136,13.785714285714286,0,5,20,9.668367346938812
deepseek,grok4,no_rag,3136,11.785714285714286,0,3,20,14.025510204081614
deepseek,grok4,no_feedback,3136,16.0,0,9,20,7.0
