judge,type,key,dimension,count,avg_rank,first_count,min_rank,max_rank,var_rank
grok4,method,no_rag,可部署性,15680,11.167857142857143,280,1,20,32.225395408165404
grok4,method,no_feedback,有效性,15680,13.714285714285714,168,1,20,30.31836734693671
grok4,method,no_feedback,无干扰性,15680,11.45,336,1,20,30.247500000001313
grok4,method,no_feedback,可部署性,15680,10.389285714285714,504,1,20,28.916313775509312
grok4,profile,ali-qwen,有效性,12544,13.339285714285714,0,3,20,27.545599489795872
grok4,profile,ali-qwen,无干扰性,12544,9.428571428571429,784,1,20,33.43239795918516
grok4,profile,ali-qwen,可部署性,12544,8.147321428571429,1568,1,20,28.429189253827502
grok4,profile,deepseek,有效性,12544,12.348214285714286,0,3,20,21.76267538265276
grok4,profile,deepseek,无干扰性,12544,8.633928571428571,1064,1,20,28.267777423470065
grok4,profile,deepseek,可部署性,12544,6.330357142857143,1232,1,20,20.131935586735686
grok4,profile,glm4.5,有效性,12544,10.361607142857142,56,1,20,21.793347417092313
grok4,profile,glm4.5,无干扰性,12544,11.147321428571429,168,1,20,18.063117825254423
grok4,profile,glm4.5,可部署性,12544,11.049107142857142,56,1,20,17.368124202806353
grok4,profile,gpt5,有效性,12544,3.2544642857142856,3080,1,20,10.046855070152795
grok4,profile,gpt5,无干扰性,12544,12.883928571428571,952,1,20,52.56688456632627
grok4,profile,gpt5,可部署性,12544,17.044642857142858,112,1,20,13.944435586735713
grok4,profile,grok4,有效性,12544,13.196428571428571,0,3,20,13.836415816326113
grok4,profile,grok4,无干扰性,12544,10.40625,168,1,20,23.1787109375
grok4,profile,grok4,可部署性,12544,9.928571428571429,168,1,20,19.994897959183117
glm4.5,method,all,有效性,15624,6.397849462365591,2632,1,20,17.716267776621358
glm4.5,method,all,无干扰性,15624,8.946236559139784,1008,1,20,28.35911666088566
glm4.5,method,all,可部署性,15624,9.817204301075268,1400,1,20,36.54364666435613
glm4.5,method,no_cot,有效性,15680,12.267857142857142,56,1,20,27.260395408162047
glm4.5,method,no_cot,无干扰性,15680,10.503571428571428,1176,1,20,34.685701530611325
glm4.5,method,no_cot,可部署性,15680,9.5,1400,1,20,35.40714285714286
glm4.5,method,no_rag,有效性,15680,8.45,336,1,20,20.104642857144093
glm4.5,method,no_rag,无干扰性,15680,10.289285714285715,728,1,20,30.341313775510127
glm4.5,method,no_rag,可部署性,15680,11.207142857142857,224,1,20,31.099948979593414
glm4.5,method,no_feedback,有效性,15680,14.835714285714285,112,1,20,24.765867346938144
glm4.5,method,no_feedback,无干扰性,15680,12.221428571428572,224,1,20,33.9795408163232
glm4.5,method,no_feedback,可部署性,15680,11.439285714285715,112,1,20,26.910599489795374
glm4.5,profile,ali-qwen,有效性,12544,11.883928571428571,0,3,20,31.057955994898784
glm4.5,profile,ali-qwen,无干扰性,12544,9.200892857142858,1120,1,20,32.089106345663225
glm4.5,profile,ali-qwen,可部署性,12544,8.178571428571429,1848,1,20,30.36096938775522
glm4.5,profile,deepseek,有效性,12544,12.138392857142858,56,1,20,25.806740274235263
glm4.5,profile,deepseek,无干扰性,12544,8.924107142857142,560,1,20,29.49870455994909
glm4.5,profile,deepseek,可部署性,12544,7.147321428571429,784,1,20,22.259546396683405
glm4.5,profile,glm4.5,有效性,12544,11.129464285714286,0,3,20,23.532346141580824
glm4.5,profile,glm4.5,无干扰性,12544,10.901785714285714,392,1,20,22.26713966836667
glm4.5,profile,glm4.5,可部署性,12544,10.5,168,1,20,19.508928571428573
glm4.5,profile,gpt5,有效性,12488,4.2825112107623315,3080,1,20,20.704940779021726
glm4.5,profile,gpt5,无干扰性,12488,13.080717488789238,728,1,20,42.34326047175425
glm4.5,profile,gpt5,可部署性,12488,16.99103139013453,0,4,20,10.1523859317486
glm4.5,profile,grok4,有效性,12544,12.995535714285714,0,3,20,15.129444355867047
glm4.5,profile,grok4,无干扰性,12544,10.361607142857142,336,1,20,28.855847417091702
glm4.5,profile,grok4,可部署性,12544,9.669642857142858,336,1,20,24.346221301020975
gpt5,method,all,有效性,15680,7.3464285714285715,2352,1,20,22.312130102040836
gpt5,method,all,无干扰性,15680,10.235714285714286,784,1,20,27.04443877550843
gpt5,method,all,可部署性,15680,9.335714285714285,1120,1,20,27.008724489794957
gpt5,method,no_cot,有效性,15680,11.989285714285714,168,1,20,30.41059948979682
gpt5,method,no_cot,无干扰性,15680,10.510714285714286,1008,1,20,36.2784566326512
gpt5,method,no_cot,可部署性,15680,10.675,952,1,20,35.397946428572496
gpt5,method,no_rag,有效性,15680,9.332142857142857,616,1,20,27.814681122447663
gpt5,method,no_rag,无干扰性,15680,10.689285714285715,728,1,20,32.742742346941355
gpt5,method,no_rag,可部署性,15680,10.310714285714285,616,1,20,31.228456632655053
gpt5,method,no_feedback,有效性,15680,13.332142857142857,0,2,20,30.914681122447963
gpt5,method,no_feedback,无干扰性,15680,10.564285714285715,616,1,20,36.82443877550933
gpt5,method,no_feedback,可部署性,15680,11.678571428571429,448,1,20,36.55382653061345
gpt5,profile,ali-qwen,有效性,12544,12.428571428571429,0,3,20,29.7091836734697
gpt5,profile,ali-qwen,无干扰性,12544,10.0,392,1,20,32.714285714285715
gpt5,profile,ali-qwen,可部署性,12544,11.361607142857142,448,1,20,33.53441884566355
gpt5,profile,deepseek,有效性,12544,10.294642857142858,56,1,20,18.895328443878512
gpt5,profile,deepseek,无干扰性,12544,7.723214285714286,1120,1,20,25.923389668366745
gpt5,profile,deepseek,可部署性,12544,6.633928571428571,1792,1,20,27.63384885204128
gpt5,profile,glm4.5,有效性,12544,11.848214285714286,56,1,20,19.70017538265241
gpt5,profile,glm4.5,无干扰性,12544,10.901785714285714,672,1,20,28.668925382652596
gpt5,profile,glm4.5,可部署性,12544,10.758928571428571,280,1,20,25.611527423470292
gpt5,profile,gpt5,有效性,12544,3.4642857142857144,3024,1,20,10.971938775510178
gpt5,profile,gpt5,无干扰性,12544,12.986607142857142,504,1,20,30.379284917091034
gpt5,profile,gpt5,可部署性,12544,10.125,504,1,20,25.296875
gpt5,profile,grok4,有效性,12544,14.464285714285714,0,3,20,16.17729591836669
gpt5,profile,grok4,无干扰性,12544,10.888392857142858,448,1,20,34.10807955994841
gpt5,profile,grok4,可部署性,12544,13.620535714285714,112,1,20,28.539042570151647
deepseek,method,all,有效性,15680,6.796428571428572,2408,1,20,19.247844387755105
deepseek,method,all,无干扰性,15680,9.285714285714286,952,1,20,27.089795918366725
deepseek,method,all,可部署性,15680,10.753571428571428,616,1,20,28.35713010204072
deepseek,method,no_cot,有效性,15680,12.582142857142857,56,1,20,31.464681122449097
deepseek,method,no_cot,无干扰性,15680,10.496428571428572,1176,1,20,35.09998724489812
deepseek,method,no_cot,可部署性,15680,8.696428571428571,2184,1,20,37.13284438775409
deepseek,method,no_rag,有效性,15680,8.710714285714285,504,1,20,22.812742346938226
deepseek,method,no_rag,无干扰性,15680,10.725,504,1,20,31.999374999998924
deepseek,method,no_rag,可部署性,15680,11.882142857142858,168,1,20,30.075395408162635
deepseek,method,no_feedback,有效性,15680,13.896428571428572,168,1,20,26.87141581632715
deepseek,method,no_feedback,无干扰性,15680,11.492857142857142,504,1,20,36.299948979592415
deepseek,method,no_feedback,可部署性,15680,10.667857142857143,168,1,20,32.178966836734865
deepseek,profile,ali-qwen,有效性,12544,12.897321428571429,0,2,20,28.047492825255233
deepseek,profile,ali-qwen,无干扰性,12544,9.651785714285714,784,1,20,29.66446109693829
deepseek,profile,ali-qwen,可部署性,12544,7.955357142857143,1624,1,20,24.15872130102116
deepseek,profile,deepseek,有效性,12544,11.973214285714286,168,1,20,26.37428252550972
deepseek,profile,deepseek,无干扰性,12544,8.200892857142858,1176,1,20,31.74089205994913
deepseek,profile,deepseek,可部署性,12544,6.415178571428571,1288,1,20,21.653519610968296
deepseek,profile,glm4.5,有效性,12544,10.5625,56,1,20,24.755022321428573
deepseek,profile,glm4.5,无干扰性,12544,10.495535714285714,280,1,20,22.035694355866823
deepseek,profile,glm4.5,可部署性,12544,10.517857142857142,56,1,20,20.347895408163833
deepseek,profile,gpt5,有效性,12544,3.90625,2912,1,20,14.843889508928571
deepseek,profile,gpt5,无干扰性,12544,13.232142857142858,616,1,20,44.91932397959066
deepseek,profile,gpt5,可部署性,12544,17.589285714285715,0,6,20,6.152742346938969
deepseek,profile,grok4,有效性,12544,13.142857142857142,0,3,20,14.077806122449205
deepseek,profile,grok4,无干扰性,12544,10.919642857142858,280,1,20,24.243542729592246
deepseek,profile,grok4,可部署性,12544,10.022321428571429,168,1,20,20.289680325254874
