CVEID,成因一级分类,成因二级分类,成因三级分类,
CVE-2022-29165,安全逻辑缺陷,2.2 身份验证绕过,2.2.1 JWT/Token验证缺陷,"CVE-2022-29165,CWE-200 | CWE-287 | CWE-290,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor | CWE-287: Improper Authentication | CWE-290: Authentication with Hard-Coded Password"
CVE-2022-29171,代码注入,4.1 命令注入,,"CVE-2022-29171,CWE-74 | CWE-94,CWE-74: Improper Neutralization of Special Elements in Output | CWE-94: Improper Control of Generation of Code"
CVE-2022-29179,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2022-29179,CWE-269,CWE-269: Improper Access Control (Generic)"
CVE-2022-31102,安全逻辑缺陷,2.4 输入验证不足,2.4.2 用户输入未过滤,"CVE-2022-31102,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation"
CVE-2022-37968,安全逻辑缺陷,2.2 身份验证绕过,2.2.3 匿名访问控制不当,"CVE-2022-37968,NVD-CWE-noinfo,"
CVE-2022-46167,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2022-46167,CWE-863,CWE-863: Incorrect Authorization"
CVE-2023-22482,安全逻辑缺陷,2.2 身份验证绕过,2.2.1 JWT/Token验证缺陷,"CVE-2023-22482,CWE-863,CWE-863: Incorrect Authorization"
CVE-2023-2250,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-2250,CWE-268 | NVD-CWE-noinfo,CWE-268: Improper Execution of Privileged Operations"
CVE-2023-22645,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-22645,CWE-269,CWE-269: Improper Access Control (Generic)"
CVE-2023-22651,安全逻辑缺陷,2.1 访问控制缺陷,2.1.1 权限验证逻辑错误,"CVE-2023-22651,CWE-269 | CWE-276,CWE-269: Improper Access Control (Generic) | CWE-276: Incorrect Default Permissions"
CVE-2023-23947,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2023-23947,CWE-863,CWE-863: Incorrect Authorization"
CVE-2023-26484,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-26484,CWE-863,CWE-863: Incorrect Authorization"
CVE-2023-29018,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-29018,CWE-269 | NVD-CWE-noinfo,CWE-269: Improper Access Control (Generic)"
CVE-2023-30512,配置错误,1.1 权限配置过宽,1.1.2 ClusterRole绑定不当,"CVE-2023-30512,CWE-732,CWE-732: Incorrect Permission Assignment for Critical Resource"
CVE-2023-30617,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-30617,CWE-250 | CWE-269,CWE-250: Execution with Unnecessary Privileges | CWE-269: Improper Access Control (Generic)"
CVE-2023-30622,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2023-30622,CWE-269,CWE-269: Improper Access Control (Generic)"
CVE-2023-30840,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2023-30840,CWE-863,CWE-863: Incorrect Authorization"
CVE-2023-3676,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2023-3676,CWE-20,CWE-20: Improper Input Validation"
CVE-2023-3893,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2023-3893,CWE-20 | NVD-CWE-noinfo,CWE-20: Improper Input Validation"
CVE-2023-3955,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2023-3955,CWE-20,CWE-20: Improper Input Validation"
CVE-2023-46254,安全逻辑缺陷,2.1 访问控制缺陷,2.1.2 资源作用域混淆,"CVE-2023-46254,CWE-200 | NVD-CWE-noinfo,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor"
CVE-2023-48312,安全逻辑缺陷,2.2 身份验证绕过,2.2.1 JWT/Token验证缺陷,"CVE-2023-48312,CWE-287,CWE-287: Improper Authentication"
CVE-2023-50726,安全逻辑缺陷,2.1 访问控制缺陷,2.1.1 权限验证逻辑错误,"CVE-2023-50726,CWE-269 | CWE-863,CWE-269: Improper Access Control (Generic) | CWE-863: Incorrect Authorization"
CVE-2023-5408,安全逻辑缺陷,2.1 访问控制缺陷,2.1.1 权限验证逻辑错误,"CVE-2023-5408,CWE-269 | NVD-CWE-noinfo,CWE-269: Improper Access Control (Generic)"
CVE-2023-5528,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2023-5528,CWE-20 | NVD-CWE-noinfo,CWE-20: Improper Input Validation"
CVE-2024-31989,配置错误,1.2 网络隔离不足,1.2.2 跨命名空间通信未限制,"CVE-2024-31989,CWE-327,CWE-327: Use of a Broken or Risky Cryptographic Algorithm"
CVE-2024-33522,配置错误,1.1 权限配置过宽,1.1.3 组件默认高权限配置,"CVE-2024-33522,CWE-269,CWE-269: Improper Access Control (Generic)"
CVE-2024-40628,代码注入,4.2 路径遍历,,"CVE-2024-40628,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory"
CVE-2024-40629,安全逻辑缺陷,2.4 输入验证不足,2.4.2 用户输入未过滤,"CVE-2024-40629,CWE-22,CWE-22: Improper Limitation of a Pathname to a Restricted Directory"
CVE-2024-43403,配置错误,1.1 权限配置过宽,1.1.2 ClusterRole绑定不当,"CVE-2024-43403,CWE-269,CWE-269: Improper Access Control (Generic)"
CVE-2024-43803,安全逻辑缺陷,2.1 访问控制缺陷,2.1.2 资源作用域混淆,"CVE-2024-43803,CWE-200 | CWE-653,CWE-200: Exposure of Sensitive Information to an Unauthorized Actor | CWE-653: Insufficient Compartmentalization"
CVE-2024-48921,安全逻辑缺陷,2.3 授权验证不完善,2.3.1 权限校验不充分,"CVE-2024-48921,CWE-285 | CWE-863,CWE-285: Improper Authorization | CWE-863: Incorrect Authorization"
CVE-2024-56513,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2024-56513,CWE-266,CWE-266: Incorrect Privilege Assignment"
CVE-2025-2241,敏感信息泄露,3.2 API暴露敏感信息,,"CVE-2025-2241,CWE-922,CWE-922: Insecure Storage of Sensitive Information"
CVE-2025-24784,配置错误,1.1 权限配置过宽,1.1.1 服务账户权限过度授予,"CVE-2025-24784,CWE-285,CWE-285: Improper Authorization"
CVE-2025-32445,安全逻辑缺陷,2.3 授权验证不完善,2.3.2 特权操作验证缺失,"CVE-2025-32445,CWE-250,CWE-250: Execution with Unnecessary Privileges"
